age,sex,bmi,children,smoker,region,charges
62,male,30.875,3,yes,northwest,46718.16325
25,female,20.8,1,no,southwest,3208.787
43,male,27.8,0,yes,southwest,37829.7242
42,male,24.605,2,yes,northeast,21259.37795
24,female,27.72,0,no,southeast,2464.6188
29,female,21.85,0,yes,northeast,16115.3045
32,male,28.12,4,yes,northwest,21472.4788
25,female,30.2,0,yes,southwest,33900.653
41,male,32.2,2,no,southwest,6875.961
42,male,26.315,1,no,northwest,6940.90985
33,female,26.695,0,no,northwest,4571.41305
34,male,42.9,1,no,southwest,4536.259
19,female,34.7,2,yes,southwest,36397.576
30,female,23.655,3,yes,northwest,18765.87545
18,male,28.31,1,no,northeast,11272.33139
19,female,20.6,0,no,southwest,1731.677
18,male,53.13,0,no,southeast,1163.4627
35,male,39.71,4,no,northeast,19496.71917
39,female,26.315,2,no,northwest,7201.70085
31,male,31.065,3,no,northwest,5425.02335
62,male,26.695,0,yes,northeast,28101.33305
62,male,38.83,0,no,southeast,12981.3457
42,female,40.37,2,yes,southeast,43896.3763
31,male,25.935,1,no,northwest,4239.89265
61,male,33.535,0,no,northeast,13143.33665
42,female,32.87,0,no,northeast,7050.0213
51,male,30.03,1,no,southeast,9377.9047
23,female,24.225,2,no,northeast,22395.74424
52,male,38.6,2,no,southwest,10325.206
57,female,25.74,2,no,southeast,12629.1656
23,female,33.4,0,no,southwest,10795.93733
52,female,44.7,3,no,southwest,11411.685
50,male,30.97,3,no,northwest,10600.5483
18,female,31.92,0,no,northeast,2205.9808
18,female,36.85,0,no,southeast,1629.8335
21,female,25.8,0,no,southwest,2007.945
61,female,29.07,0,yes,northwest,29141.3603
